epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7289,3.23628,5.5634,2.0954,0.00031,0.13109,0.00233,0.00063,3.35816,6.30937,1.98769,0.000300342,0.000300342,0.000300342
2,77.2943,2.86237,4.38528,1.74963,0.42039,0.05746,0.03024,0.00759,2.91705,5.09664,1.86247,0.000583432,0.000583432,0.000583432
3,122.663,2.7092,3.75416,1.70866,0.60788,0.05995,0.06536,0.01921,2.6366,3.87402,1.78695,0.000846524,0.000846524,0.000846524
4,156.809,2.65326,3.44679,1.67132,0.33532,0.05825,0.03714,0.01036,2.96004,4.00343,1.71347,0.000819009,0.000819009,0.000819009
5,192.706,2.61158,3.23124,1.6608,0.26896,0.11263,0.05293,0.01796,2.65482,3.57396,1.76878,0.000789012,0.000789012,0.000789012
6,234.498,2.52746,2.99708,1.62302,0.12694,0.19171,0.10354,0.04159,2.47091,3.40871,1.67291,0.000759015,0.000759015,0.000759015
7,275.182,2.41963,2.87761,1.57141,0.32474,0.15189,0.12407,0.04203,2.51873,3.14268,1.68433,0.000729018,0.000729018,0.000729018
8,309.836,2.43373,2.74009,1.57276,0.39574,0.14035,0.13498,0.04612,2.48511,2.82075,1.71051,0.000699021,0.000699021,0.000699021
9,346.259,2.36403,2.65423,1.54687,0.30944,0.1388,0.16509,0.057,2.47702,2.7417,1.65304,0.000669024,0.000669024,0.000669024
10,390.393,2.35132,2.59917,1.5225,0.22168,0.25109,0.17158,0.06036,2.43403,2.60412,1.64777,0.000639027,0.000639027,0.000639027
11,425.268,2.32064,2.50317,1.52908,0.26582,0.16065,0.14898,0.05524,2.53584,2.76267,1.74241,0.00060903,0.00060903,0.00060903
12,460.558,2.27589,2.43313,1.49256,0.28709,0.23386,0.18773,0.0632,2.47442,2.56883,1.60523,0.000579033,0.000579033,0.000579033
13,496,2.25401,2.36677,1.47427,0.32207,0.22378,0.19409,0.06172,2.58268,2.57212,1.68355,0.000549036,0.000549036,0.000549036
14,531.948,2.21173,2.27383,1.45811,0.2316,0.23253,0.16829,0.06325,2.50439,2.71139,1.66087,0.000519039,0.000519039,0.000519039
15,567.687,2.1997,2.27615,1.451,0.23879,0.24339,0.18925,0.06155,2.50821,2.55924,1.69391,0.000489042,0.000489042,0.000489042
16,603.884,2.16453,2.23148,1.44264,0.19603,0.30119,0.17823,0.05841,2.49999,2.64561,1.67384,0.000459045,0.000459045,0.000459045
17,639.595,2.11954,2.11233,1.40424,0.29073,0.23985,0.22024,0.0785,2.46618,2.45896,1.63225,0.000429048,0.000429048,0.000429048
18,675.028,2.06963,2.07894,1.4015,0.35221,0.23242,0.21131,0.08453,2.473,2.42319,1.67447,0.000399051,0.000399051,0.000399051
19,710.678,2.05493,2.00322,1.38135,0.27691,0.28424,0.21837,0.08066,2.47375,2.45299,1.67315,0.000369054,0.000369054,0.000369054
20,746.569,2.037,1.99231,1.36893,0.27267,0.26459,0.21261,0.07761,2.57126,2.5042,1.65469,0.000339057,0.000339057,0.000339057
